time,GEN1:Vt,GEN1:delta,GEN1:omega,GEN1:P,GEN2:delta,GEN3:delta
0.0,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.01,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.02,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.03,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.04,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.05,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.06,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.07,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.08,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.09,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.1,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.11,0.8848782325414164,0.039684097241793406,1.0000193082159,0.6231056831208736,0.34626025341775896,0.23158576513236187
0.12,0.8848190173296177,0.03979408056882448,1.0000394625915299,0.6170923283232512,0.35189097512997863,0.23694353327078696
0.13,0.8847167888453853,0.03998243574574872,1.0000613072066502,0.6071081073982748,0.3612590554190909,0.24584866483840537
0.14,0.8845662906559967,0.04025711744486538,1.0000856767003201,0.5932070234578717,0.3743442455948778,0.25826826590254104
0.15,0.8843603077984157,0.04062920508539131,1.0001133919254057,0.575464295066498,0.3911204324202191,0.27415865609516044
0.16,0.8840898233989634,0.04111284240657073,1.0001452552762398,0.5539781062965974,0.41155582393701706,0.29346570076031264
0.17,0.8837442143860725,0.04172515873010913,1.000182045613709,0.5288716508530416,0.4356131868796508,0.3161252327138953
0.18,0.8833114840444568,0.042486170277153935,1.0002245127412404,0.500295320774829,0.46325013783753843,0.34206356581786
0.19,1.0357355242953463,0.04346839087728145,1.0003053019263173,0.2943876832861792,0.49235761581870685,0.3691874194485993
0.2,1.0346299550355331,0.04478751648590022,1.0004028555012507,0.21721285003823498,0.5207430523329403,0.3953033605559379
0.21,1.03349231470707,0.04650515057064392,1.0005162620860502,0.144615622010037,0.5482838653891646,0.42024786879367815
0.22,1.0323467921974976,0.04867922805652615,1.0006444939990977,0.07711114928416005,0.5748640544239563,0.443873918196101
0.23,1.0312181064234351,0.05136360451669704,1.000786422078786,0.015144434835422943,0.6003745378499975,0.4660522635587264
0.24,1.0301307858805164,0.05460770159712282,1.000940830460322,-0.040908421447026715,0.6247134232167758,0.48667241400533323
0.25,1.0291084837468751,0.05845620764819644,1.0011064308892388,-0.09073719378937181,0.6477862232250616,0.5056433077637782
0.26,1.0281733481501232,0.0629488311052263,1.0012818762394118,-0.13409315644836875,0.6695060320240533,0.52289370835742
0.27,1.0273454626731984,0.06812010308281594,1.001465773000928,-0.17078383883434703,0.6897936767318833,0.538372346442059
0.28,1.0266423677392975,0.07399922495271435,1.0016566926041455,-0.200667383033142,0.7085778589594436,0.5520478334353901
0.29,1.0260786694834312,0.0806099563595079,1.0018531815436482,-0.2236469452719009,0.725795300314041,0.5639083730980383
0.3,1.025665739284808,0.08797053916774202,1.0020537703537833,-0.23966552725294085,0.741390904463511,0.5739612956430549
0.31,1.0254115043908385,0.09609365318276031,1.0022569815617215,-0.24870155069636754,0.7553179464177661,0.5822324361565441
0.32,1.025320328006738,0.10498640008723155,1.0024613368016546,-0.2507654056196774,0.7675382973068656,0.5887653755237687
0.33,1.0253929757779583,0.11465031281938379,1.0026653633133162,-0.24589711580662715,0.7780226901809314,0.5936205580949012
0.34,1.025626664630934,0.12508138851749376,1.0028676000691306,-0.23416517853608637,0.7867510293080825,0.596874296393969
0.35000000000000003,1.0260151893121088,0.13627014409886856,1.0030666037775595,-0.21566655386769018,0.793712742183579,0.5986176696347195
0.36,1.0265491215260156,0.14820169446495243,1.0032609549969134,-0.19052770458088958,0.7989071700694642,0.5989553199645349
0.37,1.02721607618707,0.16085585416785686,1.0034492645658932,-0.15890652342472955,0.802343989444771,0.5980041484533213
0.38,1.0280010388624246,0.17420726408604012,1.0036301805166703,-0.12099493124529109,0.8040436533520879,0.5958919120462735
0.39,1.0288867479264119,0.18822554519560142,1.003802395585921,-0.07702188895794214,0.8040378383740073,0.5927557230962689
0.4,1.0298541242393822,0.2028754818562611,1.00396465538166,-0.027256539027027873,0.8023698799681773,0.5887404546889556
0.41000000000000003,1.0308827403080787,0.21811723713579048,1.0041157672018224,0.027988821370045498,0.7990951762467186,0.5839970576924063
0.42,1.0319513199124042,0.2339066025626453,1.004254609437295,0.08835623272426914,0.7942815381270444,0.5786807991415986
0.43,1.0330382581468793,0.2501952843243602,1.004380141430471,0.1534403136986467,0.7880094622337207,0.5729494359669721
0.44,1.0341221507907845,0.2669312273306099,1.004491413603357,0.2227875039461574,0.7803723021213274,0.5669613428908453
0.45,1.0351823209637572,0.2840589777574477,1.004587577619619,0.29589652200408867,0.7714763134339903,0.5608736181908016
0.46,1.036199330222994,0.3015200837162272,1.0046678963053872,0.37222019765015,0.7614405496170883,0.5548401955827766
0.47000000000000003,1.037155460696595,0.3192535325898506,1.0047317530265036,0.4511687743680521,0.7503965868188214,0.5490099943243825
0.48,1.038035154609313,0.33719622240122327,1.0047786602071762,0.5321147056297346,0.7384880596893446,0.5435251424241784
0.49,1.0388253977268431,0.35528346338177375,1.0048082666781377,0.614398891375512,0.7258699938748361,0.5385193092646431
0.5,1.039516033904212,0.37344950475351274,1.004820363562177,0.6973382219021054,0.7127079260227804,0.5341161837879026
0.51,1.040099999143584,0.3916280806898178,1.0048148884412695,0.7802342196099444,0.6991768079065362,0.5304281325402246
0.52,1.0405734653960306,0.40975296853949617,1.0047919276014496,0.8623824995770146,0.6854596976214373,0.5275550683276715
0.53,1.0409358867943164,0.4277585517414613,1.0047517162169675,0.943082712913956,0.6717462474256688,0.5255835551259987
0.54,1.0411899440446757,0.4455803794693882,1.0046946364109461,1.0216485974189713,0.65823100438215,0.5245861684521433
0.55,1.0413413862410308,0.46315571495875113,1.0046212132115235,1.0974177426350638,0.6451115461707518,0.5246211229790618
0.56,1.0413987732394057,0.4804240646968363,1.004532108505266,1.1697606841668535,0.6325864799608791,0.5257321711681646
0.5700000000000001,1.0413731257324488,0.4973276811935904,1.0044281131680237,1.2380889763047398,0.620853336777622,0.5279487685505515
0.58,1.041277494044776,0.5138120328702399,1.004310137621781,1.3018619515769716,0.6101063971389211,0.5312864934580523
0.59,1.0411264601680574,0.5298262356557609,1.004179201119463,1.3605919572738172,0.60053448575,0.5357477019013136
0.6,1.0409355904280293,0.5453234421032535,1.0040364200939784,1.4138479564210689,0.5923187736763038,0.5413223922604223
0.61,1.0407208582313117,0.5602611851507916,1.0038829959204647,1.4612574864755405,0.5856306257402364,0.5479892497449482
0.62,1.0404980574597775,0.5746016749694948,1.0037202024308587,1.5025070744917375,0.5806295290566253,0.5557168373348937
0.63,1.0402822272338523,0.5883120485805476,1.0035493734885523,1.5373413038643047,0.5774611358694182,0.5644648981553487
0.64,1.0400871080108036,0.601364573005266,1.003371890880826,1.5655608069867633,0.5762554504599113,0.5741857338791099
0.65,1.039924647450529,0.6137368035743398,1.0031891727222964,1.587019513866483,0.5771251861658117,0.5848256246136668
0.66,1.0398045723483145,0.6254116996192353,1.0030026624892645,1.6016215146202926,0.5801643147676443,0.5963262575653522
0.67,1.0397340403962838,0.6363777000779682,1.0028138187287283,1.6093178919709321,0.5854468269067296,0.6086261343018599
0.68,1.0397173827715396,0.6466287615704575,1.002624105413205,1.6101038489158785,0.5930257189695872,0.6216619293698255
0.6900000000000001,1.0397559456951564,0.6561643612602619,1.002434982849314,1.6040163994040062,0.6029322190926679,0.6353697761097936
0.7000000000000001,1.0398480362393978,0.6649894663657286,1.002247898999417,1.5911328107751448,0.6151752626002861,0.6496864585432635
0.71,1.0399889747965565,0.6731144715779307,1.002064281045492,1.5715698920348251,0.6297412251887439,0.6645504910528687
0.72,1.0401712537275498,0.6805551049613228,1.0018855270153675,1.5454841189992887,0.6465939203360829,0.6799030701828523
0.73,1.0403847987212764,0.6873323022385676,1.001712997304403,1.5130724839244076,0.6656748655225335,0.6956888852745003
0.74,1.0406173262608096,0.6934720487765832,1.001548005959872,1.4745738617173356,0.6869038196430123,0.7118567769058811
0.75,1.0408547872916043,0.6990051881733482,1.0013918116481224,1.4302706053849688,0.7101795912456805,0.7283602343571325
0.76,1.0410818837680162,0.7039671961582796,1.0012456082918504,1.3804900274864065,0.7353811137559757,0.7451577257207146
0.77,1.0412826413491827,0.708397918608092,1.001110515440833,1.3256053981960978,0.7623687795442003,0.7622128569607045
0.78,1.0414410183405365,0.7123412728661018,1.0009875685174574,1.266036098277731,0.790986019577472,0.7794943593007626
0.79,1.0415415283183704,0.7158449122299346,1.0008777091509733,1.2022466082019532,0.821061109599439,0.7969759078324771
0.8,1.0415698520515309,0.7189598544060992,1.000781775874272,1.1347440909049074,0.8524091775649258,0.8146357781558913
0.81,1.0415134136529525,0.7217400758586984,1.0007004954976142,1.064074429824607,0.8848343807924657,0.8324563520835359
0.8200000000000001,1.0413618965940552,0.7242420752199724,1.0006344754900776,0.990816707058523,0.9181322154343362,0.8504234877749346
0.8300000000000001,1.0411076774206596,0.7265244101832844,1.0005841976887275,0.915576237289621,0.9520919158831975,0.8685257738786565
0.84,1.040746158691327,0.728647213459339,1.0005500136173875,0.8389763985895184,0.9864988980988151,0.8867536910690536
0.85,1.0402759876227967,0.7306716943428754,1.000532141633931,0.7616496084544617,1.021137198935309,0.9050987074994362
0.86,1.0396991528223298,0.7326596331234337,1.0005306660423217,0.6842278713130474,1.055791863643817,0.9235523369096375
0.87,1.0390209578454745,0.7346728759173927,1.0005455382103334,0.6073333643369735,1.0902512359242216,0.9421051892438703
0.88,1.0382498766115138,0.7367728374666511,1.0005765796343544,0.5315695280334856,1.1243091091345836,0.9607460435605714
0.89,1.0373973014157891,0.7390200190424644,1.000623486797548,0.45751308784340344,1.1577667032993586,0.9794609717537293
0.9,1.0364771989492152,0.7414735478435338,1.0006858375848713,0.38570735825769104,1.1904344400022187,0.9982325392566678
0.91,1.0355056930482252,0.744190743245784,1.0007630989543976,0.31665708071790266,1.2221334956156908,1.0170391056509427
0.92,1.0345005946905774,0.7472267140281309,1.0008546355233396,0.2508249317882215,1.2526971220627228,1.0358542442037426
0.93,1.0334809000297052,0.7506339893563941,1.000959718710924,0.18862972031063766,1.2819717328787295,1.0546462950893034
0.9400000000000001,1.0324662761814136,0.754462184951113,1.0010775360883435,0.13044618206027941,1.3098177602495422,1.0733780626984593
0.9500000000000001,1.0314765523192213,0.7587577045829691,1.0012072006158081,0.07660618628839519,1.3361102955318802,1.0920066632648708
0.96,1.0305312307486496,0.7635634759073331,1.0013477594942033,0.02740109617703988,1.360739531223167,1.1104835252474106
0.97,1.0296490293901561,0.7689187187250994,1.0014982024190595,-0.01691502263636954,1.3836110262658623,1.1287545416524027
0.98,1.028847463857704,0.7748587430786481,1.001657469092236,-0.05612167465872214,1.404645818898668,1.146760370833203
0.99,1.0281424743713015,0.7814147741779268,1.0018244559169038,-0.09002801843117791,1.4237804120610322,1.1644368802750074
1.0,1.0275481003042122,0.7886138010027711,1.0019980218697238,-0.11846907401628202,1.4409666557625729,1.1817157264057243
